MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	29,097656	Sec	09.07.2010 12:11:54
Datum	09.07.10
Prüfer	Be
Proben Bezeichnung	VII.2 TH-M7-Z20
Bemerkungen	mit dem gemittelten Wert (Druckplattenabstand) der 3 W2TK geregelt, 0,0042mm/sek
Durchmesser in mm	98,6
Länge in mm	299,6
Masse in g	5395,1
Wegaufnehmer HBM (Druckplattenabstand)	W2TK 7733 , -7734 und 7737
Wegaufnehmer MTS	1944A , 1944B und 1281068
Messlänge MTS	100 mm
Bediener Information Ende

Datenerfassung						Zeit:	569,77734	Sec	09.07.2010 12:20:54
Laufzeit	Ch 1 Kraft	Ch 1 Weg	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 W2TK Mittel	1944 A	1944 B	1281068	Ch 1 MTS Aufnehmer Mittel
Sec	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm
29,614258	-2,6238515	-0,0095650554	-0,0049558668	-0,007811904	-0,0054257098	-0,0060644937	-0,00044700224	-0,00066669285	-0,00068645179	-0,00060004898
30,114258	-4,5342598	-0,016829371	-0,0099431276	-0,014381766	-0,010074181	-0,011466358	-0,00097038643	-0,0013963869	-0,0012610424	-0,001209272
30,614258	-6,3008313	-0,026378036	-0,014041503	-0,019266963	-0,013729876	-0,015679447	-0,0015349635	-0,0020326218	-0,001861399	-0,0018096614
31,114258	-8,5460358	-0,035521388	-0,018818511	-0,024767399	-0,018316757	-0,020634223	-0,0023020257	-0,0027385987	-0,0024918709	-0,0025108317
31,614258	-10,432169	-0,043694675	-0,022524165	-0,028973103	-0,021823933	-0,0244404	-0,0028761528	-0,0034655444	-0,0030467361	-0,0031294778
32,114258	-12,544554	-0,051161647	-0,026463646	-0,033499599	-0,025762239	-0,028575161	-0,0036618309	-0,0041216817	-0,0035257433	-0,0037697519
32,614258	-14,565646	-0,055451691	-0,03015619	-0,037689924	-0,02941704	-0,032421052	-0,0043361476	-0,0049660504	-0,0042463411	-0,0045161797
33,114258	-16,503273	-0,06428659	-0,033666383	-0,041673303	-0,032835439	-0,036058374	-0,0050142007	-0,0057166573	-0,0047518332	-0,005160897
33,614258	-18,431675	-0,069959462	-0,037267152	-0,045599461	-0,035803329	-0,039556649	-0,0057904064	-0,0064100306	-0,0053113494	-0,0058372621
34,114258	-20,373966	-0,07673502	-0,040713117	-0,049493909	-0,039626982	-0,043278001	-0,0064459215	-0,0071636103	-0,0057656337	-0,0064583886
34,614258	-22,307293	-0,083503127	-0,044128291	-0,053375483	-0,043072805	-0,046858858	-0,0071959263	-0,0079155881	-0,0063739885	-0,0071618343
35,114258	-24,2694	-0,088864565	-0,047516398	-0,057156324	-0,046421863	-0,050364863	-0,0078301737	-0,0086059272	-0,0070079882	-0,0078146961
35,614258	-26,170914	-0,095300376	-0,050818987	-0,060877919	-0,04975488	-0,053817261	-0,008586416	-0,0093535334	-0,0076144207	-0,0085181231
36,114258	-28,111889	-0,10044277	-0,054156698	-0,064595938	-0,053015638	-0,057256091	-0,0092808157	-0,010076011	-0,0081351157	-0,0091639804
36,614258	-30,101963	-0,10719448	-0,05750367	-0,068394065	-0,056375485	-0,060757741	-0,010064216	-0,010882476	-0,0087916721	-0,0099127879
37,114258	-32,051449	-0,11171848	-0,060782261	-0,072077632	-0,059578169	-0,06414602	-0,010818256	-0,011611674	-0,0092851613	-0,010571697
