MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	110,07324	Sec	05.07.2010 15:22:46
Datum : 	05.07.2010
Prüfer : 	Machura
Probenbezeichnung :  	TH-M7-Z11
Bemerkungen	Kraftgeregelt 3,9 kN/s
Bemerkung 	
Taster	
Länge in mm	299,8
Höhe in mm	Durchmesser: 98,6
Breite in mm	-
Masse in g	5408,6
zusätzlich MTS Aufnehmer	1944A, 1944B, 1281068
Messlänge MTS	100 mm
Bediener Information Ende

Datenerfassung						Zeit:	556,45996	Sec	05.07.2010 15:30:12
Laufzeit	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
Sec	kN	mm	mm	mm	mm
146,08887	-102,14249	-0,29669181	-0,041002125	-0,036549713	-0,032631435
146,58887	-104,1385	-0,30290037	-0,041765433	-0,037311226	-0,033422537
147,08887	-106,08054	-0,30492321	-0,042488672	-0,03808957	-0,034096472
147,58887	-108,00766	-0,31166598	-0,043246899	-0,038767304	-0,034900412
148,08887	-109,94411	-0,31571165	-0,044025376	-0,039500378	-0,035614379
148,58887	-111,94926	-0,31833351	-0,044848677	-0,040272489	-0,036297776
149,08887	-113,86362	-0,32437295	-0,045660764	-0,041033525	-0,037071548
149,58887	-115,81163	-0,32942072	-0,046351772	-0,041717324	-0,037823893
150,08887	-117,78314	-0,33163726	-0,04721415	-0,042504426	-0,038624793
150,58887	-119,7399	-0,33734739	-0,047943857	-0,043302298	-0,039300337
151,08887	-121,68359	-0,34140795	-0,048762284	-0,04403387	-0,039911672
151,58887	-123,60967	-0,34655407	-0,049537878	-0,044771791	-0,040696427
152,08887	-125,55053	-0,3490977	-0,05034408	-0,045517243	-0,041519135
152,58887	-127,52273	-0,35482049	-0,051074889	-0,046303716	-0,042192467
153,08887	-129,45071	-0,35731643	-0,051914006	-0,047022488	-0,042922772
153,58887	-131,43803	-0,36162436	-0,052714746	-0,047826748	-0,043636948
154,08887	-133,39964	-0,366164	-0,053556982	-0,04861892	-0,044426464
154,58887	-135,31883	-0,36947727	-0,054312721	-0,049302969	-0,045160748
155,08887	-137,29271	-0,37436634	-0,055167247	-0,050147004	-0,045929432
155,58887	-136,93794	-0,37513077	-0,055164728	-0,05019911	-0,045983702
156,08887	-134,90567	-0,37279576	-0,054624002	-0,049669623	-0,045365795
