MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Zylinder Druckfestigkeit (100mm)			Zeit:	39,078125	s	26.03.2024 09:56:20
Datum	26.03.2024
Prüfer:	Glagow/Bindnagel
Probebezeichnung	20240227_7188_M04_Z03
Protokoll Seite	-
Durchmesser [mm]:	99
Höhe [mm]:	298,9
Masse [g]:	5382
Bediener Information Ende

Datenerfassung						Zeit:	140,125	s	26.03.2024 09:58:01
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
0,0028942944	-10,349712
-2,160531	-326,59811

Datenerfassung						Zeit:	140,12988	s	26.03.2024 09:58:01
Laufzeit	Ch 1 Kraft dP Sollwert	Ch 1 Prüfkraft	Ch 1 Weg	Datum	Tageszeit
s	kN	kN	mm	d	d
70,452148	0	-61,289482	-0,071857572	45377	0,39595431
70,577148	0	-62,925629	-0,071584553	45377	0,39595574
70,702148	0	-63,783787	-0,071866527	45377	0,3959572
70,827148	0	-63,053032	-0,073015295	45377	0,39595866
70,952148	0	-63,430031	-0,074207321	45377	0,39596009
71,077148	0	-65,090767	-0,074814528	45377	0,39596155
71,202148	0	-65,936707	-0,075678341	45377	0,39596298
71,327148	0	-64,850708	-0,076645099	45377	0,39596444
71,452148	0	-65,04055	-0,078985892	45377	0,39596587
71,577148	0	-67,007797	-0,078562193	45377	0,39596733
71,702148	0	-67,919899	-0,080783635	45377	0,39596877
71,827148	0	-67,135056	-0,080424093	45377	0,39597023
71,952148	0	-66,958031	-0,08109694	45377	0,39597166
72,077148	0	-68,733208	-0,082344167	45377	0,39597312
72,202148	0	-69,633537	-0,083395965	45377	0,39597458
72,327148	0	-69,032425	-0,083628699	45377	0,39597601
72,452148	0	-69,005005	-0,085081816	45377	0,39597747
72,577148	0	-70,601067	-0,085874014	45377	0,3959789
72,702148	0	-71,763504	-0,086478241	45377	0,39598036
72,827148	0	-70,932022	-0,088346101	45377	0,39598179
72,952148	0	-71,138107	-0,088751897	45377	0,39598325
