MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Zylinder Druckfestigkeit (100mm)			Zeit:	75,904297	s	26.03.2024 10:09:09
Datum	26.03.2024
Prüfer:	Glagow/Bindnagel
Probebezeichnung	20240227_7188_M03_Z02
Protokoll Seite	-
Durchmesser [mm]:	98,7
Höhe [mm]:	298,9
Masse [g]:	5375
Bediener Information Ende

Datenerfassung						Zeit:	184,53027	s	26.03.2024 10:10:58
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
1,9584229	2,2559254
-0,8390649	-365,94833

Datenerfassung						Zeit:	184,53613	s	26.03.2024 10:10:58
Laufzeit	Ch 1 Kraft dP Sollwert	Ch 1 Prüfkraft	Ch 1 Weg	Datum	Tageszeit
s	kN	kN	mm	d	d
103,84961	0	-61,274876	-0,08699742	45377	0,40482464
103,97461	0	-63,188038	-0,088386387	45377	0,4048261
104,09961	0	-63,760838	-0,088356547	45377	0,40482754
104,22461	0	-62,710754	-0,088705651	45377	0,404829
104,34961	0	-63,002518	-0,088780247	45377	0,40483043
104,47461	0	-64,978409	-0,091033019	45377	0,40483189
104,59961	0	-65,712143	-0,09283673	45377	0,40483332
104,72461	0	-64,536888	-0,092738271	45377	0,40483478
104,84961	0	-65,058876	-0,093442447	45377	0,40483621
104,97461	0	-67,161728	-0,094583757	45377	0,40483767
105,09961	0	-67,524124	-0,093888529	45377	0,40483913
105,22461	0	-66,477173	-0,095471434	45377	0,40484056
105,34961	0	-67,439339	-0,097128943	45377	0,40484202
105,47461	0	-69,17234	-0,09758696	45377	0,40484345
105,59961	0	-69,477516	-0,098949067	45377	0,40484491
105,72461	0	-68,255623	-0,098966971	45377	0,40484634
105,84961	0	-69,214813	-0,099854656	45377	0,4048478
105,97461	0	-71,376228	-0,10064238	45377	0,40484923
106,09961	0	-71,065689	-0,10092136	45377	0,40485069
106,22461	0	-70,123039	-0,1029235	45377	0,40485212
106,34961	0	-71,308723	-0,10345312	45377	0,40485358
106,47461	0	-73,224861	-0,10500471	45377	0,40485504
106,59961	0	-72,947998	-0,10547913	45377	0,40485647
106,72461	0	-71,736534	-0,10579541	45377	0,40485793
106,84961	0	-72,801071	-0,10577453	45377	0,40485936
106,97461	0	-75,227135	-0,10798553	45377	0,40486082
107,09961	0	-75,25798	-0,10906418	45377	0,40486225
107,22461	0	-73,738358	-0,10881951	45377	0,40486372
107,34961	0	-74,849236	-0,11086789	45377	0,40486515
107,47461	0	-76,990089	-0,11039346	45377	0,40486661
107,59961	0	-76,976974	-0,11187642	45377	0,40486804
107,72461	0	-75,808723	-0,11332655	45377	0,4048695
107,84961	0	-76,989342	-0,11338921	45377	0,40487096
107,97461	0	-79,204697	-0,114441	45377	0,40487239
108,09961	0	-79,420914	-0,11463793	45377	0,40487385
108,22461	0	-77,631287	-0,11562558	45377	0,40487528
108,34961	0	-78,802818	-0,11646701	45377	0,40487674
108,47461	0	-81,006401	-0,11751433	45377	0,40487817
108,59961	0	-81,45269	-0,11892417	45377	0,40487963
108,72461	0	-79,591835	-0,11886301	45377	0,40488106
108,84961	0	-80,369522	-0,11956122	45377	0,40488252
108,97461	0	-82,877243	-0,12166331	45377	0,40488395
109,09961	0	-83,24485	-0,12137835	45377	0,40488541
109,22461	0	-81,876183	-0,12202584	45377	0,40488687
109,34961	0	-82,525574	-0,12329844	45377	0,4048883
109,47461	0	-85,086487	-0,12457551	45377	0,40488976
109,59961	0	-85,259041	-0,12553927	45377	0,40489119
109,72461	0	-83,985886	-0,12567206	45377	0,40489265
109,84961	0	-84,579697	-0,12709683	45377	0,40489408
109,97461	0	-86,66407	-0,12793528	45377	0,40489554
110,09961	0	-87,027214	-0,12857531	45377	0,40489697
110,22461	0	-85,802788	-0,1285037	45377	0,40489843
110,34961	0	-86,812485	-0,13007914	45377	0,40489987
110,47461	0	-88,729965	-0,13149495	45377	0,40490133
110,59961	0	-88,630135	-0,13187987	45377	0,40490279
110,72461	0	-87,63414	-0,13176201	45377	0,40490422
110,84961	0	-88,683624	-0,13262433	45377	0,40490568
110,97461	0	-90,731491	-0,13394766	45377	0,40490711
111,09961	0	-90,586655	-0,13595277	45377	0,40490857
111,22461	0	-89,886597	-0,13533214	45377	0,40491
111,34961	0	-91,085396	-0,13623773	45377	0,40491146
111,47461	0	-92,272865	-0,13790269	45377	0,40491289
111,59961	0	-91,555374	-0,13842635	45377	0,40491435
111,72461	0	-91,554634	-0,13934089	45377	0,40491578
111,84961	0	-93,415787	-0,13850841	45377	0,40491724
111,97461	0	-94,53978	-0,14015695	45377	0,4049187
112,09961	0	-93,835701	-0,14074476	45377	0,40492013
112,22461	0	-93,724838	-0,14185475	45377	0,40492159
112,34961	0	-95,239838	-0,14337201	45377	0,40492302
112,47461	0	-96,280533	-0,14357193	45377	0,40492448
112,59961	0	-95,871498	-0,14429103	45377	0,40492591
112,72461	0	-96,11692	-0,14582172	45377	0,40492737
112,84961	0	-97,644287	-0,14669597	45377	0,4049288
112,97461	0	-98,736397	-0,14842062	45377	0,40493026
113,09961	0	-97,533127	-0,14779252	45377	0,40493169
113,22461	0	-97,472183	-0,14803421	45377	0,40493315
113,34961	0	-99,676659	-0,14958878	45377	0,40493461
113,47461	0	-100,48043	-0,15001695	45377	0,40493605
113,59961	0	-99,355835	-0,15114334	45377	0,40493751
113,72461	0	-99,828651	-0,15133879	45377	0,40493894
113,84961	0	-101,71782	-0,15263525	45377	0,4049404
113,97461	0	-102,30612	-0,15405703	45377	0,40494183
114,09961	0	-100,92999	-0,15465379	45377	0,40494329
