(07/18/2014 09:47:28) Information [Stmgr] "Regelart umgestellt auf: Ch 1 Kraft"
(07/18/2014 09:47:28) Information [Stmgr] "Manueller Sollwert aktiviert: Ch 1 Kraft"
(07/18/2014 09:48:53) Information [Stmgr] "Manueller Sollwert deaktiviert: Ch 1 Kraft"
(07/18/2014 09:49:02) Information [MPT Runtime] "Prozedur beginnt: E-Modul-mit  Druckversuch 100erZylinder mit Regelabweichung Standart.000"
(07/18/2014 09:49:02) Information [MPT Runtime] "Läuft"
(07/18/2014 09:55:34) Information [MPT/Operator Event] "Bediener Ereignis 'Bruchrampe' aufgetreten: 'Bruchrampe
'"
(07/18/2014 09:55:41) Warning [MPT/Data Limit] "Unterer Grenzwert ausgelöst für 'Ch 1 Kraft'."
(07/18/2014 09:55:41) Warning [MPT/Data Limit] "Grenzwertprozess beendet"
(07/18/2014 09:58:19) Warning [MPT/Data Limit] "Oberer Grenzwert wurde ausgelöst von 'Ch 1 Kraft Abs. Fehler'."
(07/18/2014 09:58:19) Warning [MPT/Data Limit] "Grenzwertprozess beendet"
(07/18/2014 09:58:20) Information [MPT Runtime] "Prozedur fertig"
(07/18/2014 09:58:20) Information [MPT Runtime] "Angehalten
 Laufzeit:  00:09:18 
 Kanalzähler:
    Ch 1 -          5  Zyklen"
