MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	10,112305	Sec	06.02.2013 13:14:53
Datum	06.02.2013
Prüfer:	Kh
Probebezeichnung	7.2 Thiele 28d v. 09.01.13 Probe 6
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	149
Masse [g]:	7974
Bediener Information Ende

Datenerfassung						Zeit:	156,51758	Sec	06.02.2013 13:17:20
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,86012661	2,2321279
-1,3889843	-1392,5558

Datenerfassung						Zeit:	156,52734	Sec	06.02.2013 13:17:20
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Kraft
Days	Days	Sec	mm	kN
41317	0,24080954	51,983398	-0,35557145	-247,56142
41317	0,24081187	52,183594	-0,35739619	-250,00949
41317	0,24081418	52,383789	-0,36035025	-252,18646
41317	0,2408165	52,583984	-0,36108431	-254,38914
41317	0,24081881	52,78418	-0,3623206	-257,33057
41317	0,24082114	52,984375	-0,36468327	-259,84708
41317	0,24082345	53,18457	-0,36712319	-261,55649
41317	0,24082577	53,384766	-0,36827627	-264,08139
41317	0,24082808	53,584961	-0,37002969	-266,5629
41317	0,24083041	53,785156	-0,37063	-268,73007
41317	0,24083272	53,985352	-0,37320367	-271,00342
41317	0,24083504	54,185547	-0,37529883	-272,82254
41317	0,24083735	54,385742	-0,3769958	-275,23126
41317	0,24083968	54,585938	-0,37844011	-277,73877
41317	0,24084198	54,786133	-0,38062149	-279,53833
41317	0,24084431	54,986328	-0,38182214	-281,66986
41317	0,24084662	55,186523	-0,38303468	-283,8508
41317	0,24084894	55,386719	-0,38594118	-286,02628
41317	0,24085125	55,586914	-0,38673764	-288,26147
41317	0,24085358	55,787109	-0,38902006	-290,62421
41317	0,24085589	55,987305	-0,38937369	-292,4299
41317	0,24085821	56,1875	-0,3917096	-294,78729
41317	0,24086052	56,387695	-0,39275572	-297,27597
41317	0,24086285	56,587891	-0,39499354	-299,45193
41317	0,24086516	56,788086	-0,39604262	-301,80112
41317	0,24086748	56,988281	-0,39801297	-303,90994
41317	0,24086979	57,188477	-0,39949891	-306,4516
41317	0,24087211	57,388672	-0,40100271	-308,60663
41317	0,24087442	57,588867	-0,40141281	-310,91901
41317	0,24087675	57,789063	-0,40321973	-313,23636
41317	0,24087906	57,989258	-0,40578446	-315,41418
41317	0,24088138	58,189453	-0,40656903	-317,68329
41317	0,24088369	58,389648	-0,40837893	-319,90399
41317	0,24088602	58,589844	-0,40901193	-322,54871
41317	0,24088833	58,790039	-0,41103283	-324,5495
41317	0,24089065	58,990234	-0,41237909	-327,02206
41317	0,24089296	59,19043	-0,41353217	-329,67432
41317	0,24089529	59,390625	-0,41483384	-331,63705
41317	0,2408976	59,59082	-0,41689634	-334,34015
41317	0,24089992	59,791016	-0,41797218	-336,47559
41317	0,24090223	59,991211	-0,41991875	-338,66928
41317	0,24090455	60,191406	-0,42197233	-340,93497
41317	0,24090686	60,391602	-0,42279258	-343,32977
41317	0,24090919	60,591797	-0,42404374	-345,35843
41317	0,2409115	60,791992	-0,42658767	-347,53525
41317	0,24091382	60,992188	-0,42649555	-349,58838
41317	0,24091613	61,192383	-0,42813602	-352,12515
41317	0,24091846	61,392578	-0,42958334	-354,38217
41317	0,24092077	61,592773	-0,43155369	-356,11899
41317	0,24092309	61,792969	-0,43335763	-358,65436
41317	0,2409254	61,993164	-0,43351811	-361,09152
41317	0,24092773	62,193359	-0,4361423	-362,93347
41317	0,24093004	62,393555	-0,43813345	-365,32043
41317	0,24093236	62,59375	-0,43918252	-367,20932
41317	0,24093467	62,793945	-0,4398393	-369,14136
41317	0,24093699	62,994141	-0,44172052	-371,26514
41317	0,2409393	63,194336	-0,44244567	-373,55771
41317	0,24094163	63,394531	-0,44350067	-375,41943
41317	0,24094394	63,594727	-0,44517979	-377,65363
41317	0,24094626	63,794922	-0,44670141	-379,63708
41317	0,24094857	63,995117	-0,44804767	-381,57394
41317	0,2409509	64,195313	-0,44964951	-383,96805
41317	0,24095321	64,395508	-0,45036277	-386,07596
41317	0,24095553	64,595703	-0,45226479	-388,25839
41317	0,24095784	64,795898	-0,45378342	-390,38022
41317	0,24096017	64,996094	-0,45504647	-392,57574
41317	0,24096248	65,196289	-0,45663941	-395,14029
41317	0,2409648	65,396484	-0,45765874	-397,23224
41317	0,24096711	65,59668	-0,46006003	-399,14581
41317	0,24096943	65,796875	-0,46061876	-401,80756
41317	0,24097174	65,99707	-0,4612785	-403,83679
41317	0,24097407	66,197266	-0,46253562	-406,21216
41317	0,24097638	66,397461	-0,46385217	-408,9375
41317	0,2409787	66,597656	-0,46552238	-411,1514
41317	0,24098101	66,797852	-0,46670219	-413,22955
41317	0,24098334	66,998047	-0,46746004	-416,01639
41317	0,24098565	67,198242	-0,46858341	-417,93954
41317	0,24098797	67,398438	-0,47010502	-420,25342
41317	0,24099028	67,598633	-0,4714067	-422,52512
41317	0,24099261	67,798828	-0,4728035	-424,67621
41317	0,24099492	67,999023	-0,47433698	-426,96243
41317	0,24099724	68,199219	-0,47469065	-429,1684
41317	0,24099955	68,399414	-0,47668776	-431,15094
41317	0,24100187	68,599609	-0,4783847	-433,28656
41317	0,24100418	68,799805	-0,48009649	-435,48929
41317	0,24100651	69	-0,48054227	-437,49548
41317	0,24100882	69,200195	-0,48256615	-439,66049
41317	0,24101114	69,400391	-0,48396888	-442,35074
41317	0,24101345	69,600586	-0,4839451	-444,29791
41317	0,24101578	69,800781	-0,48519924	-446,24298
41317	0,24101809	70,000977	-0,48739547	-448,67947
41317	0,24102041	70,201172	-0,48962733	-450,65634
41317	0,24102272	70,401367	-0,48896462	-453,00497
41317	0,24102505	70,601563	-0,49067047	-455,03873
41317	0,24102736	70,801758	-0,49297369	-456,81046
41317	0,24102968	71,001953	-0,49349973	-459,17896
41317	0,24103199	71,202148	-0,49523827	-461,49518
41317	0,24103431	71,402344	-0,49664694	-463,5531
41317	0,24103662	71,602539	-0,49678066	-466,25211
41317	0,24103895	71,802734	-0,49934244	-468,19608
41317	0,24104126	72,00293	-0,49956831	-470,52359
41317	0,24104358	72,203125	-0,5009948	-472,77203
41317	0,24104589	72,40332	-0,50236487	-475,07578
41317	0,24104822	72,603516	-0,50412124	-477,47357
41317	0,24105053	72,803711	-0,50507224	-479,92416
41317	0,24105285	73,003906	-0,50570524	-482,05725
41317	0,24105516	73,204102	-0,50767559	-484,43237
41317	0,24105749	73,404297	-0,50886732	-486,91931
41317	0,2410598	73,604492	-0,51032656	-489,22662
41317	0,24106212	73,804688	-0,51142615	-491,46317
41317	0,24106443	74,004883	-0,51327169	-494,22955
41317	0,24106675	74,205078	-0,5137769	-496,55722
41317	0,24106906	74,405273	-0,51486164	-498,901
41317	0,24107139	74,605469	-0,51585722	-501,53348
41317	0,2410737	74,805664	-0,51795536	-503,60663
41317	0,24107602	75,005859	-0,51928675	-506,01993
41317	0,24107833	75,206055	-0,51964045	-508,52591
41317	0,24108066	75,40625	-0,52093917	-510,60449
41317	0,24108297	75,606445	-0,52296895	-513,02075
41317	0,24108529	75,806641	-0,52408934	-515,71417
41317	0,2410876	76,006836	-0,52495712	-517,71362
41317	0,24108993	76,207031	-0,526241	-520,07672
41317	0,24109223	76,407227	-0,52842832	-522,34729
41317	0,24109456	76,607422	-0,52844614	-524,4411
41317	0,24109687	76,807617	-0,53001231	-526,66565
41317	0,24109919	77,007813	-0,53208375	-528,68921
