(07/18/2014 10:37:35) Information [Stmgr] "Regelart umgestellt auf: Ch 1 Kraft"
(07/18/2014 10:37:35) Information [Stmgr] "Manueller Sollwert aktiviert: Ch 1 Kraft"
(07/18/2014 10:37:51) Information [Stmgr] "Manueller Sollwert deaktiviert: Ch 1 Kraft"
(07/18/2014 10:38:49) Information [MPT Runtime] "Prozedur beginnt: E-Modul-mit  Druckversuch 100erZylinder mit Regelabweichung Standart.000"
(07/18/2014 10:38:49) Information [MPT Runtime] "Läuft"
(07/18/2014 10:44:57) Information [MPT/Operator Event] "Bediener Ereignis 'Bruchrampe' aufgetreten: 'Bruchrampe
'"
(07/18/2014 10:45:03) Warning [MPT/Data Limit] "Unterer Grenzwert ausgelöst für 'Ch 1 Kraft'."
(07/18/2014 10:45:03) Warning [MPT/Data Limit] "Grenzwertprozess beendet"
(07/18/2014 10:47:06) Warning [MPT/Data Limit] "Oberer Grenzwert wurde ausgelöst von 'Ch 1 Kraft Abs. Fehler'."
(07/18/2014 10:47:06) Warning [MPT/Data Limit] "Grenzwertprozess beendet"
(07/18/2014 10:47:07) Information [MPT Runtime] "Prozedur fertig"
(07/18/2014 10:47:07) Information [MPT Runtime] "Angehalten
 Laufzeit:  00:08:17 
 Kanalzähler:
    Ch 1 -          5  Zyklen"
