(07/18/2014 10:48:26) Information [Stmgr] "Regelart umgestellt auf: Ch 1 Kraft"
(07/18/2014 10:48:26) Information [Stmgr] "Manueller Sollwert aktiviert: Ch 1 Kraft"
(07/18/2014 10:49:50) Information [Stmgr] "Manueller Sollwert deaktiviert: Ch 1 Kraft"
(07/18/2014 10:50:01) Information [MPT Runtime] "Prozedur beginnt: E-Modul-mit  Druckversuch 100erZylinder mit Regelabweichung Standart.000"
(07/18/2014 10:50:01) Information [MPT Runtime] "Läuft"
(07/18/2014 11:41:09) Information [MPT/Operator Event] "Bediener Ereignis 'Bruchrampe' aufgetreten: 'Bruchrampe
'"
(07/18/2014 11:41:16) Warning [MPT/Data Limit] "Unterer Grenzwert ausgelöst für 'Ch 1 Kraft'."
(07/18/2014 11:41:16) Warning [MPT/Data Limit] "Grenzwertprozess beendet"
(07/18/2014 11:43:12) Warning [MPT/Data Limit] "Oberer Grenzwert wurde ausgelöst von 'Ch 1 Kraft Abs. Fehler'."
(07/18/2014 11:43:12) Warning [MPT/Data Limit] "Grenzwertprozess beendet"
(07/18/2014 11:43:13) Information [MPT Runtime] "Prozedur fertig"
(07/18/2014 11:43:13) Information [MPT Runtime] "Angehalten
 Laufzeit:  00:53:12 
 Kanalzähler:
    Ch 1 -          5  Zyklen"
