MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	51,941406	Sec	07.07.2010 15:36:15
Datum	07.07.10
Prüfer	Be
Proben Bezeichnung	VII.2 TH-M7-Z23
Bemerkungen	mit dem gemittelten Wert (Druckplattenabstand) der 3 W2TK geregelt, 0,0042mm/sek
Durchmesser in mm	98,5
Länge in mm	299,8
Masse in g	5381,0
Wegaufnehmer HBM (Druckplattenabstand)	W2TK 7733 , -7734 und 7737
Wegaufnehmer MTS	1944A , 1944B und 1281068
Messlänge MTS	100 mm
Bediener Information Ende

Datenerfassung						Zeit:	563,96094	Sec	07.07.2010 15:44:47
Laufzeit	Ch 1 Kraft	Ch 1 Weg	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 W2TK Mittel	1944 A	1944 B	1281068	Ch 1 MTS Aufnehmer Mittel
Sec	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm
65,453125	-0,9880448	0,00378564	0,00022131923	-0,00019037724	0,00013045409	5,3798696e-05	-3,3311546e-05	-7,1853399e-05	5,1264651e-05	-1,7966764e-05
65,953125	-0,98840332	0,0032372773	0,00020953159	-0,00023519993	0,00010338546	2,5905707e-05	-1,5690923e-05	-4,9993396e-05	-7,3453411e-06	-2,4343221e-05
66,453125	-0,98661238	0,0023394823	0,00023262577	-0,0001912117	0,00011578695	5,2400337e-05	9,5367432e-07	-4,2587519e-05	-6,8855472e-05	-3,6829773e-05
66,953125	-1,0074069	0,0045999885	0,00024922471	-0,00015926361	0,00015001028	7,9990459e-05	-5,1189214e-05	-8,9559704e-05	-1,8536113e-05	-5,3095009e-05
67,453125	-1,0011187	0,0017389655	0,0002331069	-0,0002092123	0,00012651901	5,0137867e-05	-2,6777387e-05	-3,6075711e-05	-8,5458159e-06	-2,3799637e-05
67,953125	-1,0082163	0,0015608966	0,00025187092	-0,0001796484	0,0001662276	7,9483376e-05	-1,3679266e-05	-4,5541674e-05	-1,9173138e-05	-2,613136e-05
68,453125	-0,99229997	0,0032939017	0,0002208381	-0,00018775463	0,00013474692	5,5943467e-05	-9,5702708e-06	-7,3514879e-05	-3,4274533e-05	-3,9119896e-05
68,953125	-1,0143853	0,001411885	0,00027304058	-0,00014936924	0,00014142464	8,8365327e-05	2,8215349e-05	6,1020255e-06	1,6818754e-05	1,7045377e-05
69,453125	-1,0268651	0,0016853213	0,00025644165	-0,00014901161	0,0001725476	9,3325878e-05	-1,1503696e-05	-7,6334924e-05	1,6163103e-05	-2,3891838e-05
69,953125	-1,0283841	0,0031448901	0,00023262577	-0,0001667738	0,00015096425	7,2272072e-05	-3,4635887e-05	-5,8557838e-05	-3,6399812e-05	-4,3197844e-05
70,453125	-1,0020007	0,002027303	0,00025836614	-0,00020289421	0,00013343523	6,2969055e-05	-3,3207238e-05	-9,7181648e-05	8,3431602e-05	-1,5652427e-05
