MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Datenerfassung						Zeit:	265,93262	s	18.07.2023 10:59:13
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1470533	1470534	1281068
d	s	kN	kN	mm	mm	mm	mm
45125	227,65039	-47,607422	-47,716343	-0,15236437	-0,016160816	-0,019532904	-0,019275287
45125	227,85059	-48,388184	-48,425041	-0,15482008	-0,016345501	-0,019802377	-0,01947424
45125	228,05078	-49,168945	-49,227463	-0,15723258	-0,016735673	-0,020158216	-0,019925214
45125	228,25098	-49,949707	-50,004688	-0,15884638	-0,017002642	-0,020562634	-0,020236028
45125	228,45117	-50,730469	-50,808887	-0,16145855	-0,017318845	-0,020905271	-0,020516917
45125	228,65137	-51,51123	-51,520084	-0,16352385	-0,017615288	-0,02126427	-0,020814016
45125	228,85156	-52,291992	-52,369034	-0,16534477	-0,017852038	-0,02158615	-0,021209337
45125	229,05176	-53,072754	-53,133427	-0,16767383	-0,018142223	-0,021947503	-0,021430377
45125	229,25195	-53,853516	-53,916191	-0,16959608	-0,01845485	-0,022277281	-0,021826189
45125	229,45215	-54,634277	-54,682167	-0,17165393	-0,018821776	-0,022671565	-0,022146773
45125	229,65234	-55,415039	-55,482235	-0,17365813	-0,019107252	-0,022920221	-0,02238038
45125	229,85254	-56,195801	-56,242634	-0,17573684	-0,019367158	-0,023305759	-0,022843715
45125	230,05273	-56,976563	-57,049446	-0,17798692	-0,019644171	-0,023602217	-0,023071254
45125	230,25293	-57,757324	-57,851219	-0,18044263	-0,019959033	-0,024063587	-0,023454973
45125	230,45313	-58,538086	-58,560772	-0,18236786	-0,02032271	-0,024299875	-0,023722239
45125	230,65332	-59,318848	-59,422314	-0,18449873	-0,020541519	-0,024636045	-0,024062529
45125	230,85352	-60,099609	-60,119896	-0,1863867	-0,020833492	-0,025009766	-0,024363259
45125	231,05371	-60,880371	-60,956375	-0,18873364	-0,021233797	-0,025419474	-0,024788026
45125	231,25391	-61,661133	-61,719719	-0,19022524	-0,021345049	-0,025616691	-0,024968673
45125	231,4541	-62,441895	-62,466373	-0,19244403	-0,021775216	-0,026000783	-0,025252802
45125	231,6543	-63,222656	-63,326042	-0,195086	-0,022009522	-0,026372299	-0,025697591
45125	231,85449	-64,003418	-64,035645	-0,19614697	-0,022339553	-0,026687518	-0,025911581
45125	232,05469	-64,78418	-64,861221	-0,19876063	-0,022687614	-0,027070925	-0,026242577
45125	232,25488	-65,564941	-65,623528	-0,20027459	-0,02287522	-0,027337402	-0,026536524
45125	232,45508	-66,345703	-66,372314	-0,20242333	-0,023228943	-0,027669847	-0,026945556
45125	232,65527	-67,126465	-67,265106	-0,20454824	-0,023527116	-0,027995527	-0,027235117
45125	232,85547	-67,907227	-67,893288	-0,20603687	-0,023727626	-0,028300792	-0,027533302
45125	233,05566	-68,687988	-68,746964	-0,20800233	-0,024041235	-0,028649196	-0,027813789
45125	233,25586	-69,46875	-69,558624	-0,20992458	-0,024377733	-0,028967291	-0,028294047
45125	233,45605	-70,249512	-70,286438	-0,21235347	-0,024614811	-0,029256925	-0,028555408
45125	233,65625	-71,030273	-71,125618	-0,21370947	-0,024869889	-0,029675469	-0,028922962
45125	233,85645	-71,811035	-71,820389	-0,21561831	-0,02515325	-0,029965907	-0,029166326
45125	234,05664	-72,591797	-72,726067	-0,21802336	-0,025521606	-0,030305192	-0,029583791
45125	234,25684	-73,372559	-73,390663	-0,21973252	-0,025795072	-0,030621484	-0,029818842
45125	234,45703	-74,15332	-74,24234	-0,22156686	-0,026005685	-0,030981809	-0,030165751
