Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-0.98056161,0.22470842,1.1339422,-0.1919671
-1.0539032,0.22459754,1.1339111,-0.19201006
-1.1049155,0.22466558,1.1339995,-0.19199349
-1.0539349,0.22464797,1.1339573,-0.19191523
-0.95211899,0.2246611,1.1340508,-0.191912
-0.94987637,0.22468959,1.1339322,-0.19192302
-1.017306,0.22468951,1.1339365,-0.1919035
-1.0984801,0.22465293,1.1339076,-0.19196953
-1.0367036,0.22470243,1.1339446,-0.19188142
-0.94853526,0.22468078,1.1338633,-0.1918675
-0.92618167,0.22473943,1.1339993,-0.19185397
-0.98268127,0.22469346,1.133913,-0.19187579
-1.0628104,0.22470941,1.133961,-0.19192411
-1.0627173,0.2247013,1.1339631,-0.19187889
-0.97442418,0.22474998,1.1340266,-0.19186379
-0.93976969,0.22473085,1.1340858,-0.19187671
-0.99788976,0.22469431,1.1339501,-0.19188136
-1.0751095,0.22467837,1.1339582,-0.19188794
-1.0220259,0.22469383,1.1339988,-0.19186583
-0.96301919,0.22464937,1.1339322,-0.19184642
-0.90272725,0.22478485,1.1339504,-0.19184069
-0.99349022,0.22472103,1.1340113,-0.19191664
-1.0586698,0.224741,1.1339209,-0.19193904
-1.0707229,0.22473718,1.1340054,-0.19199184
-0.99937618,0.22474302,1.1339353,-0.19188511
-0.97130799,0.22472145,1.1340598,-0.19186494
-0.95358121,0.22474428,1.1339451,-0.19188188
-1.0342542,0.22469151,1.1340004,-0.19190323
-1.0608025,0.22468793,1.1339425,-0.1919183
-1.02867,0.2247247,1.1340066,-0.19192
-0.95709229,0.22480743,1.1338952,-0.19190972
-0.95674211,0.22472282,1.1340824,-0.19194436
-1.0340195,0.22472018,1.1339618,-0.19191156
-1.1137594,0.22464791,1.1340204,-0.19196081
-1.0561347,0.22469199,1.1339718,-0.19189271
-0.96916592,0.22467636,1.1338992,-0.19191685
-0.96358919,0.22477391,1.1340696,-0.19192682
-1.0483023,0.22474781,1.1339415,-0.19197589
-1.0718107,0.22473186,1.1339898,-0.19188973
-1.0498781,0.22483194,1.1339865,-0.1919125
-0.97468495,0.22476722,1.1339076,-0.19185674
-0.94100648,0.22475453,1.1340021,-0.19183406
-0.99666417,0.22480334,1.1340278,-0.19187385
-1.0415968,0.22475205,1.1340641,-0.19185005
-0.99246764,0.22477408,1.1341438,-0.19186845
-0.92663991,0.22481066,1.1339599,-0.1918278
-0.94478762,0.22474609,1.1339909,-0.19184956
-1.0117311,0.22474249,1.1340052,-0.19183563
-1.0797642,0.22479853,1.1339155,-0.19184624
-1.0472275,0.22466649,1.1340039,-0.19191685
-0.95601195,0.22474849,1.1339697,-0.19186553
-0.8996762,0.22477093,1.1340752,-0.19181496
-0.97738022,0.22470805,1.1340222,-0.1918602
-1.0543019,0.2247076,1.133963,-0.19185074
-1.0687132,0.22468302,1.1340241,-0.19182754
-0.99263525,0.22479211,1.1340714,-0.19189863
-0.94968081,0.22478229,1.1340191,-0.19182754
-0.98455513,0.22477087,1.1341383,-0.19185001
-1.0673497,0.22470108,1.1339598,-0.19191602
-1.0721051,0.22472599,1.1340904,-0.19187741
-1.1019614,-8.5446052e-05,-9.5350202e-05,-4.4211745e-05
-2.9387939,-0.00055974908,-0.00064556696,-0.00065071881
-4.6421366,-0.001182979,-0.0010102405,-0.0011681616
-6.867919,-0.0020271521,-0.0016217362,-0.0019038469
-9.2470636,-0.0029514357,-0.002222544,-0.002642408
-11.304777,-0.0036950549,-0.0029329576,-0.003406316
-13.315657,-0.0043794001,-0.0036091155,-0.0041098446
-15.319742,-0.0051303152,-0.0042316541,-0.0048574209
-17.331688,-0.0059587024,-0.0048671868,-0.0055957735
-19.469397,-0.0067321565,-0.005508841,-0.0064335763
-21.278368,-0.0073019192,-0.0060727578,-0.0071665645
-22.923618,-0.0080111045,-0.0067247571,-0.0077182502
-24.863245,-0.0087041911,-0.0073039765,-0.0085343868
-26.917812,-0.009429412,-0.0079928543,-0.0093114972
-28.985153,-0.010168916,-0.008672731,-0.010105968
-31.015438,-0.010977611,-0.0092420056,-0.010870233
-32.756302,-0.011604469,-0.0099799884,-0.011561081
-34.533157,-0.012300331,-0.010491292,-0.012266353
-36.554306,-0.013018999,-0.011223307,-0.013133377
-38.727127,-0.013871806,-0.012078444,-0.013957396
-40.721371,-0.014652351,-0.012657478,-0.014782414
-42.49601,-0.015344653,-0.013401015,-0.015496641
-44.235596,-0.015986003,-0.014004333,-0.016274601
-46.277901,-0.016777702,-0.014652124,-0.017145023
-48.508411,-0.017643623,-0.015513873,-0.017932102
-50.546829,-0.018420609,-0.016133931,-0.018827423
-52.290325,-0.019104727,-0.016812345,-0.019518211
-54.01585,-0.019846113,-0.017302416,-0.020229176
-56.0564,-0.020609619,-0.018138999,-0.021099657
-58.220261,-0.021426171,-0.018936958,-0.021920592
-60.304382,-0.022259977,-0.019598605,-0.022726253
-62.041847,-0.022981077,-0.020208552,-0.023371026
-63.714062,-0.023649044,-0.020807385,-0.024142444
-65.702057,-0.024505492,-0.021461222,-0.024959609
-67.876373,-0.025307789,-0.022348186,-0.025799528
-69.959381,-0.026137669,-0.022988198,-0.026633963
-71.792419,-0.026889253,-0.023694854,-0.027354077
-73.528259,-0.027677402,-0.024443137,-0.02809456
-75.478943,-0.02845531,-0.025104372,-0.028946325
-77.653961,-0.029260509,-0.025926461,-0.029848024
-79.749237,-0.030059561,-0.026643284,-0.030662239
-81.632523,-0.030899387,-0.027347585,-0.031423762
-83.275879,-0.031615686,-0.027963813,-0.032120317
-85.200211,-0.032488387,-0.028662682,-0.032943472
-87.347046,-0.033317782,-0.029534424,-0.033744618
-89.489975,-0.034059118,-0.030300533,-0.034567147
-91.392952,-0.034956217,-0.031014016,-0.035377458
-93.100685,-0.035667866,-0.031702228,-0.036145374
-94.952934,-0.036463417,-0.032407865,-0.036903113
-97.044121,-0.037299134,-0.033206895,-0.037791178
-99.25312,-0.038211361,-0.034090266,-0.038718492
-101.17682,-0.03903529,-0.034689132,-0.039511517
-102.90211,-0.03973848,-0.035368383,-0.04026708
-104.74899,-0.040529706,-0.036085784,-0.041003123
-106.79869,-0.041307066,-0.036965281,-0.041885287
-108.95731,-0.042188827,-0.037815653,-0.042736337
-110.94791,-0.043078795,-0.038540788,-0.043578267
-112.63496,-0.043803904,-0.039235301,-0.044273853
-114.45553,-0.044592295,-0.039904859,-0.045064852
-116.45681,-0.04545166,-0.04074401,-0.045902148
-118.63222,-0.046384387,-0.041623216,-0.046800151
-120.65812,-0.047140144,-0.042342938,-0.047572866
-122.41111,-0.048012674,-0.043138754,-0.048346683
-121.75804,-0.047913715,-0.042956047,-0.048316315
-119.75346,-0.047394622,-0.042595942,-0.047826156
-117.99439,-0.047023937,-0.042216439,-0.047253713
-116.04675,-0.046419647,-0.041457102,-0.046715841
-113.89048,-0.04577167,-0.040909708,-0.046048254
-111.77548,-0.045217074,-0.040188953,-0.045404807
-109.81784,-0.044590548,-0.03970943,-0.044758797
-108.13911,-0.044122148,-0.039226901,-0.044215083
-106.26404,-0.043451712,-0.038566209,-0.043683693
-104.12006,-0.04279907,-0.03798927,-0.042996705
-101.94946,-0.042114995,-0.037369583,-0.042217776
-100.02576,-0.041421525,-0.036721505,-0.041536734
-98.33049,-0.040977653,-0.036183547,-0.040969223
-96.480675,-0.040327787,-0.035518389,-0.040311486
-94.331009,-0.039706569,-0.034874663,-0.039580956
