# Time;Temperature [Temperature];Heat flow [Signal  Ch 2];Heat [Signal  Ch 2];Normalized heat flow [Signal  Ch 2];Normalized heat [Signal  Ch 2]
9.823667342999999619e+02;2.000000000000000000e+01;-5.430000000000000315e-08;nan;-1.359999999999999936e-08;nan
1.042049520000000030e+03;2.000000000000000000e+01;1.979999999999999863e-08;nan;4.949999999999999657e-09;nan
1.086186635000000024e+03;2.000000000000000000e+01;7.390000000000000661e-08;nan;1.850000000000000022e-08;nan
1.130323750999999902e+03;2.000000000000000000e+01;1.249999999999999943e-07;nan;3.130000000000000234e-08;nan
1.143366735000000062e+03;2.000000000000000000e+01;1.410000000000000053e-07;nan;3.510000000000000328e-08;nan
1.146241733999999951e+03;2.000285204000000050e+01;1.439999999999999924e-07;nan;3.599999999999999811e-08;nan
1.149366733999999951e+03;2.000000000000000000e+01;1.480000000000000018e-07;nan;3.689999999999999955e-08;nan
1.200262574000000086e+03;2.000000000000000000e+01;1.540000000000000026e-07;nan;3.850000000000000064e-08;nan
1.261927325999999994e+03;2.000000000000000000e+01;8.280000000000000028e-08;nan;2.070000000000000007e-08;nan
1.318748342000000093e+03;2.000000000000000000e+01;4.569999999999999894e-08;nan;1.139999999999999951e-08;nan
1.375569357000000082e+03;2.000000000000000000e+01;9.090000000000000002e-08;nan;2.270000000000000143e-08;nan
1.430366735000000062e+03;2.000000000000000000e+01;1.340000000000000088e-07;nan;3.360000000000000309e-08;nan
1.433241733999999951e+03;1.999698490000000106e+01;1.369999999999999959e-07;nan;3.420000000000000184e-08;nan
1.436366733999999951e+03;2.000000000000000000e+01;1.389999999999999874e-07;nan;3.480000000000000060e-08;nan
1.491819960000000037e+03;2.000000000000000000e+01;1.460000000000000103e-07;nan;3.659999999999999686e-08;nan
1.538823487999999998e+03;2.000000000000000000e+01;1.210000000000000115e-07;nan;3.040000000000000090e-08;nan
1.585827017000000069e+03;2.000000000000000000e+01;9.660000000000000473e-08;nan;2.410000000000000074e-08;nan
1.642031267999999955e+03;2.000000000000000000e+01;7.449999999999999875e-08;nan;1.860000000000000112e-08;nan
1.667064429000000018e+03;2.000000000000000000e+01;6.899999999999999582e-08;nan;1.729999999999999940e-08;nan
1.702702829999999949e+03;2.000000000000000000e+01;6.129999999999999966e-08;nan;1.530000000000000135e-08;nan
1.725045724000000064e+03;2.000000000000000000e+01;5.640000000000000211e-08;nan;1.410000000000000053e-08;nan
1.727366735000000062e+03;2.000000000000000000e+01;5.589999999999999763e-08;nan;1.399999999999999963e-08;nan
1.730866733999999951e+03;1.999672409000000073e+01;5.519999999999999798e-08;nan;1.379999999999999949e-08;nan
1.733366733999999951e+03;2.000000000000000000e+01;5.459999999999999922e-08;nan;1.370000000000000025e-08;nan
1.739345577999999932e+03;2.000000000000000000e+01;5.330000000000000082e-08;nan;1.329999999999999998e-08;nan
1.765632155000000012e+03;2.000000000000000000e+01;4.760000000000000272e-08;nan;1.190000000000000068e-08;nan
1.797788859000000002e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.919366735000000062e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.922116733999999951e+03;2.000415680000000052e+01;nan;nan;nan;nan
1.924366733999999951e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.070429235000000062e+03;2.000000443000000061e+01;nan;nan;nan;nan
2.180366735000000062e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.183866734000000179e+03;1.999672415999999942e+01;nan;nan;nan;nan
2.186366734000000179e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.330792957999999999e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.334379258999999820e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.344614961000000221e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.369908000999999786e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.373807761999999911e+03;2.000000000000000000e+01;-9.730000000000000438e-08;-5.319999999999999886e-06;-2.429999999999999922e-08;-1.329999999999999972e-06
2.378234105999999883e+03;2.000000000000000000e+01;-9.220000000000000504e-08;-5.349999999999999599e-06;-2.300000000000000081e-08;-1.340000000000000088e-06
2.443710970000000088e+03;2.000000000000000000e+01;-1.549999999999999983e-08;-5.910000000000000167e-06;-3.870000000000000078e-09;-1.480000000000000018e-06
2.481232508000000053e+03;2.000000000000000000e+01;2.850000000000000043e-08;-6.229999999999999644e-06;7.120000000000000228e-09;-1.560000000000000099e-06
2.534366735000000062e+03;2.000000000000000000e+01;1.174352999999999942e-03;9.445505799999999452e-02;2.935880000000000087e-04;2.361376399999999889e-02
2.539866734000000179e+03;1.999508618999999854e+01;1.910199999999999919e-03;1.536485439999999980e-01;4.775499999999999797e-04;3.841213599999999950e-02
2.544366734000000179e+03;2.000000000000000000e+01;2.512256000000000038e-03;2.020795800000000086e-01;6.280640000000000094e-04;5.051989500000000216e-02
2.598979562999999871e+03;2.000000000000000000e+01;9.818923000000000234e-03;7.898475569999999779e-01;2.454730999999999927e-03;1.974618890000000015e-01
2.657657427999999982e+03;2.000000000000000000e+01;1.766945300000000163e-02;1.421365285000000034e+00;4.417362999999999672e-03;3.553413209999999878e-01
2.716335292000000209e+03;2.000000000000000000e+01;1.137219299999999919e-02;1.781852267999999961e+00;2.843047999999999929e-03;4.454630669999999903e-01
2.774685640000000149e+03;2.000000000000000000e+01;-8.466489000000000653e-03;1.880239291000000090e+00;-2.116621999999999861e-03;4.700598229999999877e-01
2.833035987000000205e+03;2.000000000000000000e+01;-1.654764599999999919e-02;1.485255921999999895e+00;-4.136911000000000060e-03;3.713139799999999879e-01
2.888366735000000062e+03;2.000000000000000000e+01;-1.357390399999999948e-02;6.643743229999999889e-01;-3.393475999999999871e-03;1.660935809999999901e-01
2.892608921999999893e+03;1.999666621000000077e+01;-1.334590800000000008e-02;6.014376409999999673e-01;-3.336477000000000019e-03;1.503594099999999989e-01
2.896851110000000062e+03;1.999333241000000072e+01;-1.311791200000000067e-02;5.385009589999999458e-01;-3.279478000000000167e-03;1.346252400000000071e-01
2.901366734000000179e+03;2.000000000000000000e+01;-1.287522099999999919e-02;4.715075879999999775e-01;-3.218804999999999930e-03;1.178768969999999944e-01
2.949960485000000062e+03;2.000001469000000043e+01;-9.891237000000000640e-03;-8.513888199999999906e-02;-2.472808999999999858e-03;-2.128472000000000003e-02
2.998554235000000062e+03;2.000002938000000086e+01;-6.505211999999999800e-03;-4.643846879999999899e-01;-1.626302999999999950e-03;-1.160961719999999975e-01
3.051867055000000164e+03;2.000002300999999960e+01;-3.433307999999999933e-03;-7.798006330000000208e-01;-8.583269999999999832e-04;-1.949501580000000123e-01
3.099706994000000122e+03;2.000001728999999884e+01;-1.749485000000000059e-03;-8.948911419999999728e-01;-4.373709999999999837e-04;-2.237227860000000068e-01
3.147546933000000081e+03;2.000001157000000163e+01;-4.052039999999999917e-04;-9.585918300000000336e-01;-1.013009999999999979e-04;-2.396479569999999948e-01
3.197976496000000225e+03;2.000000554000000008e+01;4.514119999999999938e-04;-9.409186760000000094e-01;1.128529999999999985e-04;-2.352296690000000023e-01
3.244366735000000062e+03;2.000000000000000000e+01;1.239414000000000097e-03;-9.246611120000000072e-01;3.098539999999999780e-04;-2.311652780000000018e-01
3.250937046999999893e+03;2.000648426000000057e+01;1.351020000000000085e-03;-9.223585309999999815e-01;3.377550000000000214e-04;-2.305896329999999883e-01
3.255164166999999907e+03;2.000143612999999831e+01;1.422822999999999926e-03;-9.208771270000000175e-01;3.557060000000000126e-04;-2.302192819999999973e-01
3.257879010999999991e+03;2.000000000000000000e+01;1.439837999999999925e-03;-9.158386739999999637e-01;3.599599999999999892e-04;-2.289596680000000051e-01
3.282379010999999991e+03;2.000000000000000000e+01;1.593388000000000053e-03;-8.703693500000000416e-01;3.983470000000000131e-04;-2.175923369999999968e-01
3.306879010999999991e+03;1.999848469999999878e+01;1.746939000000000087e-03;-8.249000260000000084e-01;4.367349999999999986e-04;-2.062250059999999885e-01
3.312370640999999978e+03;1.999298209999999898e+01;1.781356999999999906e-03;-8.147081600000000146e-01;4.453389999999999996e-04;-2.036770400000000036e-01
3.318366734000000179e+03;2.000000000000000000e+01;1.818935999999999947e-03;-8.035800650000000100e-01;4.547339999999999867e-04;-2.008950160000000096e-01
3.359989152000000104e+03;2.000021399999999971e+01;2.079798999999999797e-03;-7.263334030000000441e-01;5.199500000000000345e-04;-1.815833510000000039e-01
3.409361429000000044e+03;2.000046784999999971e+01;2.309942000000000158e-03;-6.264269220000000526e-01;5.774859999999999932e-04;-1.566067309999999990e-01
3.458733705000000100e+03;2.000072168999999889e+01;2.374696999999999832e-03;-5.092557640000000552e-01;5.936739999999999812e-04;-1.273139410000000138e-01
3.514119115999999849e+03;2.000055768000000000e+01;2.447339000000000198e-03;-3.778141280000000268e-01;6.118350000000000264e-04;-9.445353200000000671e-02
3.564749830000000202e+03;2.000034332999999975e+01;2.449498999999999947e-03;-2.545906050000000254e-01;6.123749999999999636e-04;-6.364765099999999953e-02
3.578366735000000062e+03;2.000028568999999834e+01;2.446966999999999979e-03;-2.213016220000000034e-01;6.117419999999999716e-04;-5.532540600000000058e-02
3.581866734000000179e+03;2.000640914999999964e+01;2.446316000000000029e-03;-2.127452400000000021e-01;6.115790000000000072e-04;-5.318631000000000053e-02
3.584366734000000179e+03;2.000000000000000000e+01;2.445851000000000188e-03;-2.066335390000000050e-01;6.114630000000000239e-04;-5.165838500000000111e-02
3.634997448000000077e+03;2.000000000000000000e+01;2.436436000000000157e-03;-8.285760799999999926e-02;6.091090000000000393e-04;-2.071440199999999981e-02
3.692489250000000084e+03;2.000000000000000000e+01;2.415253999999999925e-03;5.637183500000000208e-02;6.038130000000000277e-04;1.409295900000000039e-02
3.724366735000000062e+03;2.000000000000000000e+01;2.399194999999999800e-03;1.330278430000000067e-01;5.997990000000000353e-04;3.325696100000000155e-02
3.730812046999999893e+03;1.999362941000000049e+01;2.395949000000000082e-03;1.485269300000000015e-01;5.989870000000000437e-04;3.713173300000000010e-02
3.735802458999999999e+03;1.999935284000000024e+01;2.393435000000000180e-03;1.605274080000000103e-01;5.983590000000000219e-04;4.013185200000000258e-02
3.738579802000000200e+03;2.000000000000000000e+01;2.392036000000000162e-03;1.672061059999999932e-01;5.980090000000000405e-04;4.180152599999999857e-02
3.767375649000000067e+03;2.000000000000000000e+01;2.377530000000000095e-03;2.364516789999999979e-01;5.943819999999999616e-04;5.911291999999999935e-02
3.768366735000000062e+03;2.000000000000000000e+01;2.377087999999999857e-03;2.387929990000000058e-01;5.942719999999999643e-04;5.969825000000000131e-02
3.774444981000000098e+03;2.000583113000000068e+01;2.374377999999999905e-03;2.531521259999999773e-01;5.935940000000000227e-04;6.328803099999999460e-02
3.797554235999999946e+03;1.999911240000000134e+01;2.364075000000000204e-03;3.077449609999999836e-01;5.910190000000000278e-04;7.693624000000000296e-02
3.823335485000000062e+03;1.999955031000000005e+01;2.352580999999999856e-03;3.686500609999999734e-01;5.881449999999999873e-04;9.216251500000000041e-02
3.849116735000000062e+03;1.999998821999999876e+01;2.344184999999999932e-03;4.291326990000000063e-01;5.860460000000000062e-04;1.072831749999999945e-01
3.904576493000000028e+03;1.999999379000000133e+01;2.331928000000000039e-03;5.584491870000000135e-01;5.829820000000000097e-04;1.396122969999999963e-01
3.960036251999999877e+03;1.999999936000000034e+01;2.319671000000000146e-03;6.877656749999999652e-01;5.799180000000000133e-04;1.719414190000000120e-01
3.966366734000000179e+03;2.000000000000000000e+01;2.318272000000000128e-03;7.025265710000000441e-01;5.795680000000000319e-04;1.756316430000000040e-01
3.968116734000000179e+03;2.000380085999999835e+01;2.317885999999999905e-03;7.066070759999999451e-01;5.794710000000000225e-04;1.766517689999999863e-01
3.969241734000000179e+03;2.000190042999999918e+01;2.317636999999999996e-03;7.092302579999999468e-01;5.794090000000000221e-04;1.773075650000000003e-01
3.970366734000000179e+03;2.000000000000000000e+01;2.317388000000000087e-03;7.118534410000000312e-01;5.793470000000000217e-04;1.779633599999999871e-01
4.032899005000000216e+03;2.000001523999999975e+01;2.319556999999999869e-03;8.569854529999999526e-01;5.798889999999999904e-04;2.142463629999999952e-01
4.086226345999999921e+03;2.000002823000000163e+01;2.322684000000000207e-03;9.806996719999999668e-01;5.806710000000000517e-04;2.451749179999999917e-01
4.139553687999999966e+03;2.000004121999999995e+01;2.340046000000000140e-03;1.105574336999999963e+00;5.850109999999999729e-04;2.763935840000000255e-01
