# Time;Temperature [Temperature];Heat flow [Signal  Ch 6];Heat [Signal  Ch 6];Normalized heat flow [Signal  Ch 6];Normalized heat [Signal  Ch 6]
# 
9.743667345000000068e+02;2.000000000000000000e+01;1.549999999999999983e-07;nan;3.879999999999999671e-08;nan
9.779292342999999619e+02;1.999605787999999862e+01;1.520000000000000111e-07;nan;3.800000000000000278e-08;nan
9.801479842999999619e+02;1.999802894000000109e+01;1.499999999999999932e-07;nan;3.739999999999999741e-08;nan
9.823667342999999619e+02;2.000000000000000000e+01;1.480000000000000018e-07;nan;3.689999999999999955e-08;nan
1.042049520000000030e+03;2.000000000000000000e+01;9.090000000000000002e-08;nan;2.270000000000000143e-08;nan
1.086186635000000024e+03;2.000000000000000000e+01;7.179999999999999442e-08;nan;1.799999999999999905e-08;nan
1.130323750999999902e+03;2.000000000000000000e+01;7.910000000000000023e-08;nan;1.979999999999999863e-08;nan
1.143366735000000062e+03;2.000000000000000000e+01;8.119999999999999918e-08;nan;2.029999999999999980e-08;nan
1.146241733999999951e+03;2.000285204000000050e+01;8.169999999999999704e-08;nan;2.040000000000000069e-08;nan
1.149366733999999951e+03;2.000000000000000000e+01;8.219999999999999490e-08;nan;2.059999999999999917e-08;nan
1.200262574000000086e+03;2.000000000000000000e+01;9.060000000000000395e-08;nan;2.260000000000000054e-08;nan
1.261927325999999994e+03;2.000000000000000000e+01;1.650000000000000084e-07;nan;4.119999999999999835e-08;nan
1.318748342000000093e+03;2.000000000000000000e+01;2.340000000000000042e-07;nan;5.840000000000000016e-08;nan
1.375569357000000082e+03;2.000000000000000000e+01;2.309999999999999906e-07;nan;5.770000000000000051e-08;nan
1.430366735000000062e+03;2.000000000000000000e+01;2.040000000000000003e-07;nan;5.110000000000000097e-08;nan
1.433241733999999951e+03;1.999698490000000106e+01;2.030000000000000046e-07;nan;5.069999999999999739e-08;nan
1.436366733999999951e+03;2.000000000000000000e+01;2.010000000000000131e-07;nan;5.030000000000000042e-08;nan
1.491819960000000037e+03;2.000000000000000000e+01;1.640000000000000127e-07;nan;4.090000000000000228e-08;nan
1.538823487999999998e+03;2.000000000000000000e+01;1.299999999999999994e-07;nan;3.249999999999999985e-08;nan
1.585827017000000069e+03;2.000000000000000000e+01;9.450000000000000578e-08;nan;2.359999999999999957e-08;nan
1.642031267999999955e+03;2.000000000000000000e+01;3.149999999999999752e-08;nan;7.880000000000000085e-09;nan
1.667064429000000018e+03;2.000000000000000000e+01;3.440000000000000115e-09;nan;8.610000000000000253e-10;nan
1.702702829999999949e+03;2.000000000000000000e+01;-3.650000000000000258e-08;nan;-9.129999999999999698e-09;nan
1.725045724000000064e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.727366735000000062e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.730866733999999951e+03;1.999672409000000073e+01;nan;nan;nan;nan
1.733366733999999951e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.739345577999999932e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.765632155000000012e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.797788859000000002e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.919366735000000062e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.922116733999999951e+03;2.000415680000000052e+01;nan;nan;nan;nan
1.924366733999999951e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.070429235000000062e+03;2.000000443000000061e+01;nan;nan;nan;nan
2.180366735000000062e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.183866734000000179e+03;1.999672415999999942e+01;nan;nan;nan;nan
2.186366734000000179e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.330792957999999999e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.334379258999999820e+03;2.000000000000000000e+01;8.029999999999999774e-08;3.469999999999999811e-06;2.010000000000000131e-08;8.679999999999999904e-07
2.344614961000000221e+03;2.000000000000000000e+01;6.869999999999999975e-08;3.660000000000000110e-06;1.719999999999999851e-08;9.159999999999999967e-07
2.369908000999999786e+03;2.000000000000000000e+01;4.020000000000000263e-08;4.140000000000000173e-06;1.009999999999999945e-08;1.030000000000000091e-06
2.373807761999999911e+03;2.000000000000000000e+01;3.589999999999999721e-08;4.210000000000000349e-06;8.960000000000000492e-09;1.049999999999999900e-06
2.378234105999999883e+03;2.000000000000000000e+01;3.089999999999999876e-08;4.289999999999999584e-06;7.720000000000000638e-09;1.069999999999999920e-06
2.443710970000000088e+03;2.000000000000000000e+01;-4.290000000000000034e-08;5.519999999999999666e-06;-1.069999999999999986e-08;1.379999999999999916e-06
2.481232508000000053e+03;2.000000000000000000e+01;-6.949999999999999368e-08;2.309999999999999906e-06;-1.740000000000000030e-08;5.780000000000000141e-07
2.534366735000000062e+03;2.000000000000000000e+01;-1.070000000000000052e-07;-2.219999999999999921e-06;-2.679999999999999844e-08;-5.549999999999999802e-07
2.539866734000000179e+03;1.999508618999999854e+01;-1.110000000000000013e-07;-2.690000000000000079e-06;-2.780000000000000078e-08;-6.719999999999999823e-07
2.544366734000000179e+03;2.000000000000000000e+01;-1.140000000000000017e-07;-3.069999999999999829e-06;-2.860000000000000133e-08;-7.679999999999999949e-07
2.598979562999999871e+03;2.000000000000000000e+01;4.520000000000000240e-07;2.479999999999999972e-05;1.130000000000000060e-07;6.199999999999999931e-06
2.657657427999999982e+03;2.000000000000000000e+01;1.410000000000000053e-06;7.339999999999999520e-05;3.519999999999999756e-07;1.830000000000000097e-05
2.716335292000000209e+03;2.000000000000000000e+01;2.960000000000000035e-06;2.311140000000000102e-04;7.400000000000000089e-07;5.780000000000000225e-05
2.774685640000000149e+03;2.000000000000000000e+01;4.889999999999999768e-06;4.583379999999999746e-04;1.219999999999999966e-06;1.145850000000000015e-04
2.833035987000000205e+03;2.000000000000000000e+01;2.250000000000000057e-06;4.692319999999999824e-04;5.630000000000000518e-07;1.173079999999999956e-04
2.888366735000000062e+03;2.000000000000000000e+01;-6.170000000000000218e-06;1.986830000000000085e-04;-1.540000000000000079e-06;4.970000000000000188e-05
2.892608921999999893e+03;1.999666621000000077e+01;-6.819999999999999924e-06;1.779399999999999938e-04;-1.700000000000000029e-06;4.449999999999999746e-05
2.896851110000000062e+03;1.999333241000000072e+01;-7.459999999999999726e-06;1.571970000000000062e-04;-1.870000000000000095e-06;3.929999999999999981e-05
2.901366734000000179e+03;2.000000000000000000e+01;-8.149999999999999896e-06;1.351170000000000008e-04;-2.039999999999999950e-06;3.380000000000000165e-05
2.949960485000000062e+03;2.000001469000000043e+01;-1.550000000000000068e-05;-1.024900000000000030e-04;-3.890000000000000025e-06;-2.559999999999999884e-05
2.998554235000000062e+03;2.000002938000000086e+01;-2.269999999999999950e-05;-1.437186000000000019e-03;-5.679999999999999828e-06;-3.592959999999999969e-04
3.051867055000000164e+03;2.000002300999999960e+01;-3.059999999999999840e-05;-2.940774000000000166e-03;-7.649999999999999601e-06;-7.351939999999999951e-04
3.099706994000000122e+03;2.000001728999999884e+01;-3.770000000000000158e-05;-4.290010000000000351e-03;-9.419999999999999595e-06;-1.072501999999999917e-03
3.147546933000000081e+03;2.000001157000000163e+01;-4.319999999999999974e-05;-6.182848999999999810e-03;-1.079999999999999993e-05;-1.545712000000000084e-03
3.197976496000000225e+03;2.000000554000000008e+01;-4.770000000000000070e-05;-8.588540000000000410e-03;-1.189999999999999957e-05;-2.147135000000000103e-03
3.244366735000000062e+03;2.000000000000000000e+01;-5.199999999999999680e-05;-1.080153900000000063e-02;-1.299999999999999920e-05;-2.700385000000000025e-03
3.250937046999999893e+03;2.000648426000000057e+01;-5.259999999999999783e-05;-1.111496900000000058e-02;-1.309999999999999994e-05;-2.778741999999999844e-03
3.255164166999999907e+03;2.000143612999999831e+01;-5.289999999999999835e-05;-1.131661999999999946e-02;-1.320000000000000067e-05;-2.829154999999999864e-03
3.257879010999999991e+03;2.000000000000000000e+01;-5.319999999999999886e-05;-1.144612899999999933e-02;-1.329999999999999972e-05;-2.861531999999999965e-03
3.282379010999999991e+03;2.000000000000000000e+01;-5.500000000000000196e-05;-1.267857300000000027e-02;-1.380000000000000001e-05;-3.169643000000000200e-03
3.306879010999999991e+03;1.999848469999999878e+01;-5.599999999999999916e-05;-1.407182300000000066e-02;-1.399999999999999979e-05;-3.517956000000000034e-03
3.312370640999999978e+03;1.999298209999999898e+01;-5.619999999999999725e-05;-1.438411799999999956e-02;-1.399999999999999979e-05;-3.596030000000000060e-03
3.318366734000000179e+03;2.000000000000000000e+01;-5.640000000000000211e-05;-1.472509999999999965e-02;-1.410000000000000053e-05;-3.681274999999999912e-03
3.359989152000000104e+03;2.000021399999999971e+01;-5.800000000000000034e-05;-1.709205800000000025e-02;-1.450000000000000009e-05;-4.273014999999999800e-03
3.409361429000000044e+03;2.000046784999999971e+01;-5.920000000000000240e-05;-1.996593500000000063e-02;-1.480000000000000060e-05;-4.991484000000000025e-03
3.458733705000000100e+03;2.000072168999999889e+01;-5.970000000000000100e-05;-2.291069000000000092e-02;-1.489999999999999964e-05;-5.727671999999999625e-03
3.514119115999999849e+03;2.000055768000000000e+01;-6.030000000000000204e-05;-2.621409099999999839e-02;-1.509999999999999942e-05;-6.553523000000000334e-03
3.564749830000000202e+03;2.000034332999999975e+01;-5.989999999999999909e-05;-2.923436800000000016e-02;-1.500000000000000038e-05;-7.308592000000000040e-03
3.578366735000000062e+03;2.000028568999999834e+01;-5.970000000000000100e-05;-3.004667199999999996e-02;-1.489999999999999964e-05;-7.511667999999999991e-03
3.581866734000000179e+03;2.000640914999999964e+01;-5.970000000000000100e-05;-3.025546200000000033e-02;-1.489999999999999964e-05;-7.563865000000000345e-03
3.584366734000000179e+03;2.000000000000000000e+01;-5.959999999999999857e-05;-3.040459699999999849e-02;-1.489999999999999964e-05;-7.601148999999999753e-03
3.634997448000000077e+03;2.000000000000000000e+01;-5.909999999999999997e-05;-3.342492799999999958e-02;-1.480000000000000060e-05;-8.356231999999999896e-03
3.692489250000000084e+03;2.000000000000000000e+01;-5.879999999999999946e-05;-3.681461099999999709e-02;-1.469999999999999986e-05;-9.203652999999999140e-03
3.724366735000000062e+03;2.000000000000000000e+01;-5.869999999999999703e-05;-3.868816600000000300e-02;-1.469999999999999986e-05;-9.672042000000000486e-03
3.730812046999999893e+03;1.999362941000000049e+01;-5.869999999999999703e-05;-3.906698000000000115e-02;-1.469999999999999986e-05;-9.766745000000000287e-03
3.735802458999999999e+03;1.999935284000000024e+01;-5.869999999999999703e-05;-3.936028500000000180e-02;-1.469999999999999986e-05;-9.840071000000000581e-03
3.738579802000000200e+03;2.000000000000000000e+01;-5.869999999999999703e-05;-3.952351900000000001e-02;-1.469999999999999986e-05;-9.880879999999999871e-03
3.767375649000000067e+03;2.000000000000000000e+01;-5.860000000000000137e-05;-4.121595499999999856e-02;-1.460000000000000082e-05;-1.030398899999999951e-02
3.768366735000000062e+03;2.000000000000000000e+01;-5.860000000000000137e-05;-4.127392099999999814e-02;-1.460000000000000082e-05;-1.031847999999999967e-02
3.774444981000000098e+03;2.000583113000000068e+01;-5.860000000000000137e-05;-4.162868699999999755e-02;-1.460000000000000082e-05;-1.040717199999999926e-02
3.797554235999999946e+03;1.999911240000000134e+01;-5.849999999999999894e-05;-4.297749499999999750e-02;-1.460000000000000082e-05;-1.074437399999999924e-02
3.823335485000000062e+03;1.999955031000000005e+01;-5.840000000000000329e-05;-4.448225699999999727e-02;-1.460000000000000082e-05;-1.112056399999999945e-02
3.849116735000000062e+03;1.999998821999999876e+01;-5.830000000000000086e-05;-4.598701899999999704e-02;-1.460000000000000082e-05;-1.149675500000000086e-02
3.904576493000000028e+03;1.999999379000000133e+01;-5.810000000000000277e-05;-4.921671400000000168e-02;-1.450000000000000009e-05;-1.230417800000000068e-02
3.960036251999999877e+03;1.999999936000000034e+01;-5.780000000000000225e-05;-5.241682500000000022e-02;-1.450000000000000009e-05;-1.310420600000000019e-02
3.966366734000000179e+03;2.000000000000000000e+01;-5.780000000000000225e-05;-5.278210299999999688e-02;-1.439999999999999935e-05;-1.319552600000000082e-02
3.968116734000000179e+03;2.000380085999999835e+01;-5.780000000000000225e-05;-5.288308099999999845e-02;-1.439999999999999935e-05;-1.322076999999999974e-02
